REF_DATE,GEO,DGUID,North American Industry Classification System (NAICS),Service detail,Seasonal adjustment,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,TERMINATED,DECIMALS
2020-01,Quebec,2016A000224,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170611,6.1.1.1,1095526,,,0
2020-01,Quebec,2016A000224,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170710,6.1.1.2,1269954,,,0
2020-01,Quebec,2016A000224,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170617,6.4.1.1,87836,,,0
2020-01,Quebec,2016A000224,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170619,6.5.1.1,55346,,,0
2020-01,Quebec,2016A000224,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170613,6.2.1.1,543012,,,0
2020-01,Quebec,2016A000224,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170615,6.3.1.1,409332,,,0
2020-01,Ontario,2016A000235,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170621,7.1.1.1,2255001,,,0
2020-01,Ontario,2016A000235,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170711,7.1.1.2,2511116,,,0
2020-01,Ontario,2016A000235,Special food services [7223],Receipts,Unadjusted,Dollars,81,thousands,3,v42170627,7.4.1.1,205060,,,0
2020-01,Ontario,2016A000235,Drinking places (alcoholic beverages) [7224],Receipts,Unadjusted,Dollars,81,thousands,3,v42170629,7.5.1.1,34309,,,0
2020-01,Ontario,2016A000235,Full-service restaurants [722511],Receipts,Unadjusted,Dollars,81,thousands,3,v42170623,7.2.1.1,938610,,,0
2020-01,Ontario,2016A000235,Limited-service eating places [722512],Receipts,Unadjusted,Dollars,81,thousands,3,v42170625,7.3.1.1,1077022,,,0
2020-01,Manitoba,2016A000246,"Total, food services and drinking places",Receipts,Unadjusted,Dollars,81,thousands,3,v42170631,8.1.1.1,162423,,,0
2020-01,Manitoba,2016A000246,"Total, food services and drinking places",Receipts,Seasonally adjusted,Dollars,81,thousands,3,v42170712,8.1.1.2,181184,,,0
