,GEO,date_report,VALUE
6770,Prince Edward Island,25-08-2021,0
6801,Prince Edward Island,25-09-2021,0
6880,Quebec,25-01-2020,0
6911,Quebec,25-02-2020,0
6940,Quebec,25-03-2020,299
6971,Quebec,25-04-2020,653
7001,Quebec,25-05-2020,573
7032,Quebec,25-06-2020,142
7062,Quebec,25-07-2020,171
7093,Quebec,25-08-2020,62
7124,Quebec,25-09-2020,637
7154,Quebec,25-10-2020,879
7185,Quebec,25-11-2020,1098
7215,Quebec,25-12-2020,0
7246,Quebec,25-01-2021,1203
7277,Quebec,25-02-2021,858
7305,Quebec,25-03-2021,945
7336,Quebec,25-04-2021,1014
7366,Quebec,25-05-2021,346
7397,Quebec,25-06-2021,88
7427,Quebec,25-07-2021,102
7458,Quebec,25-08-2021,550
7489,Quebec,25-09-2021,0
8256,Saskatchewan,25-01-2020,0
8287,Saskatchewan,25-02-2020,0
8316,Saskatchewan,25-03-2020,14
8347,Saskatchewan,25-04-2020,8
8377,Saskatchewan,25-05-2020,2
8408,Saskatchewan,25-06-2020,3
8438,Saskatchewan,25-07-2020,37
8469,Saskatchewan,25-08-2020,0
8500,Saskatchewan,25-09-2020,9
8530,Saskatchewan,25-10-2020,60
8561,Saskatchewan,25-11-2020,165
8591,Saskatchewan,25-12-2020,0
8622,Saskatchewan,25-01-2021,239
8653,Saskatchewan,25-02-2021,212
8681,Saskatchewan,25-03-2021,170
8712,Saskatchewan,25-04-2021,256
8742,Saskatchewan,25-05-2021,110
8773,Saskatchewan,25-06-2021,56
8803,Saskatchewan,25-07-2021,27
8834,Saskatchewan,25-08-2021,45
8865,Saskatchewan,25-09-2021,547
